x_m,y_m, w_tr_right_m, w_tr_left_m
0,0,1.1,1.1
0.007371288,-0.364084468,1.1,1.1
0.014754673,-0.728169081,1.1,1.1
0.02214906,-1.092253768,1.1,1.1
0.029553504,-1.4563386,1.1,1.1
0.036966983,-1.820423505,1.1,1.1
0.044388477,-2.18450841,1.1,1.1
0.051816967,-2.548593388,1.1,1.1
0.059251432,-2.91267822,1.1,1.1
0.066690925,-3.276763052,1.1,1.1
0.074134353,-3.640847738,1.1,1.1
0.081580769,-4.004932279,1.1,1.1
0.089029152,-4.369016601,1.1,1.1
0.096478482,-4.733100777,1.1,1.1
0.103927739,-5.097184662,1.1,1.1
0.111375976,-5.461268255,1.1,1.1
0.118822101,-5.825351557,1.1,1.1
0.126265091,-6.189434495,1.1,1.1
0.133704074,-6.553517068,1.1,1.1
0.141137883,-6.917599131,1.1,1.1
0.148565572,-7.28168083,1.1,1.1
0.155986119,-7.645762018,1.1,1.1
0.163398505,-8.009842624,1.1,1.1
0.170801783,-8.37392272,1.1,1.1
0.178194931,-8.738002232,1.1,1.1
0.185576858,-9.102081017,1.1,1.1
0.192946616,-9.466159218,1.1,1.1
0.200303185,-9.83023669,1.1,1.1
0.207645545,-10.19431343,1.1,1.1
0.214972748,-10.55838945,1.1,1.1
0.222283701,-10.92246459,1.1,1.1
0.229577384,-11.28653893,1.1,1.1
0.236852851,-11.65061239,1.1,1.1
0.24410908,-12.01468491,1.1,1.1
0.251345052,-12.37875655,1.1,1.1
0.258559746,-12.74282718,1.1,1.1
0.265752143,-13.10689678,1.1,1.1
0.272921294,-13.47096529,1.1,1.1
0.280066107,-13.83503278,1.1,1.1
0.287185636,-14.19909917,1.1,1.1
0.294278858,-14.56316433,1.1,1.1
0.301344682,-14.92722832,1.1,1.1
0.308382234,-15.29129115,1.1,1.1
0.315390419,-15.65535266,1.1,1.1
0.322368291,-16.01941294,1.1,1.1
0.329314684,-16.38347183,1.1,1.1
0.336228796,-16.74752941,1.1,1.1
0.343109462,-17.11158553,1.1,1.1
0.349955807,-17.47564027,1.1,1.1
0.356766665,-17.83969355,1.1,1.1
0.363541161,-18.2037453,1.1,1.1
0.370289863,-18.56779508,1.1,1.1
0.377209003,-18.93183423,1.1,1.1
0.384642302,-19.29584808,1.1,1.1
0.392937925,-19.6598215,1.1,1.1
0.402443891,-20.02373954,1.1,1.1
0.41350822,-20.38758718,1.1,1.1
0.42647893,-20.75134943,1.1,1.1
0.441704041,-21.11501118,1.1,1.1
0.459531717,-21.47855745,1.1,1.1
0.480309832,-21.84197327,1.1,1.1
0.504386551,-22.20524366,1.1,1.1
0.532109821,-22.56835344,1.1,1.1
0.563827733,-22.93128775,1.1,1.1
0.599883424,-23.29401782,1.1,1.1
0.64058163,-23.65640751,1.1,1.1
0.68620916,-24.01827052,1.1,1.1
0.737052752,-24.37941999,1.1,1.1
0.793399069,-24.73966911,1.1,1.1
0.855534703,-25.09883125,1.1,1.1
0.92374639,-25.4567195,1.1,1.1
0.998320795,-25.81314726,1.1,1.1
1.079544655,-26.16792767,1.1,1.1
1.16770456,-26.52087393,1.1,1.1
1.263087175,-26.87179939,1.1,1.1
1.365979237,-27.22051717,1.1,1.1
1.476665077,-27.5668399,1.1,1.1
1.595327232,-27.91054849,1.1,1.1
1.722008911,-28.25138074,1.1,1.1
1.856743489,-28.58907135,1.1,1.1
1.999564121,-28.92335507,1.1,1.1
2.150504035,-29.25396652,1.1,1.1
2.309596459,-29.58064046,1.1,1.1
2.476792789,-29.90317904,1.1,1.1
2.651696622,-30.22167088,1.1,1.1
2.833818792,-30.53628081,1.1,1.1
3.022670499,-30.84717387,1.1,1.1
3.217762651,-31.15451474,1.1,1.1
3.418606374,-31.45846847,1.1,1.1
3.624727003,-31.75918882,1.1,1.1
3.835883271,-32.0566513,1.1,1.1
4.052024463,-32.35068561,1.1,1.1
4.273105472,-32.64111731,1.1,1.1
4.49908112,-32.92777181,1.1,1.1
4.729906156,-33.2104748,1.1,1.1
4.965535548,-33.48905163,1.1,1.1
5.205924043,-33.76332791,1.1,1.1
5.451026537,-34.03312905,1.1,1.1
5.700797779,-34.29828069,1.1,1.1
5.955192662,-34.55860822,1.1,1.1
6.214166082,-34.81393727,1.1,1.1
6.477672713,-35.06409341,1.1,1.1
6.745660748,-35.30895259,1.1,1.1
7.018062272,-35.54851061,1.1,1.1
7.294807259,-35.78278093,1.1,1.1
7.575825319,-36.01177704,1.1,1.1
7.861046351,-36.23551243,1.1,1.1
8.150400111,-36.45400035,1.1,1.1
8.443816427,-36.66725435,1.1,1.1
8.741225126,-36.87528792,1.1,1.1
9.042555964,-37.07811446,1.1,1.1
9.347738694,-37.27574738,1.1,1.1
9.656703292,-37.4682001,1.1,1.1
9.969379366,-37.65548616,1.1,1.1
10.28569638,-37.83761561,1.1,1.1
10.60556055,-38.01444747,1.1,1.1
10.92884625,-38.18563028,1.1,1.1
11.25542561,-38.35079694,1.1,1.1
11.5851705,-38.50958025,1.1,1.1
11.91795299,-38.66161326,1.1,1.1
12.25364504,-38.80652879,1.1,1.1
12.59211862,-38.94395971,1.1,1.1
12.93324584,-39.073539,1.1,1.1
13.27689869,-39.19489955,1.1,1.1
13.62294904,-39.3076743,1.1,1.1
13.97126903,-39.41149602,1.1,1.1
14.32173061,-39.5059978,1.1,1.1
14.67420132,-39.5909464,1.1,1.1
15.02852916,-39.66669318,1.1,1.1
15.38455708,-39.73374889,1.1,1.1
15.74212771,-39.7926241,1.1,1.1
16.10108385,-39.84382963,1.1,1.1
16.46126825,-39.88787606,1.1,1.1
16.82252368,-39.92527406,1.1,1.1
17.18469302,-39.95653436,1.1,1.1
17.54761889,-39.98216762,1.1,1.1
17.91114416,-40.0026845,1.1,1.1
18.2751116,-40.01859574,1.1,1.1
18.63936389,-40.03041192,1.1,1.1
19.00374398,-40.03864364,1.1,1.1
19.36813515,-40.04374384,1.1,1.1
19.73251911,-40.04602564,1.1,1.1
20.09689206,-40.04578088,1.1,1.1
20.46125051,-40.04330168,1.1,1.1
20.82559075,-40.03887995,1.1,1.1
21.18990927,-40.03280783,1.1,1.1
21.55420236,-40.02537723,1.1,1.1
21.91846638,-40.0168802,1.1,1.1
22.28269775,-40.0076088,1.1,1.1
22.64689283,-39.99785493,1.1,1.1
23.01104798,-39.98791074,1.1,1.1
23.37515963,-39.97806805,1.1,1.1
23.73922478,-39.96859538,1.1,1.1
24.10324615,-39.95956539,1.1,1.1
24.46722933,-39.95095396,1.1,1.1
24.83117979,-39.94273637,1.1,1.1
25.19510315,-39.93488809,1.1,1.1
25.55900493,-39.9273844,1.1,1.1
25.92289069,-39.92020053,1.1,1.1
26.28676595,-39.91331185,1.1,1.1
26.65063626,-39.90669365,1.1,1.1
27.01450722,-39.90032124,1.1,1.1
27.37838431,-39.89416992,1.1,1.1
27.7422732,-39.88821512,1.1,1.1
28.10617921,-39.88243199,1.1,1.1
28.4701081,-39.87679592,1.1,1.1
28.83406534,-39.87128226,1.1,1.1
29.19805654,-39.86586625,1.1,1.1
29.56208716,-39.86052325,1.1,1.1
29.92616274,-39.85522864,1.1,1.1
30.29028888,-39.84995756,1.1,1.1
30.65447114,-39.84468547,1.1,1.1
31.01871505,-39.83938757,1.1,1.1
31.38302613,-39.83403933,1.1,1.1
31.74741002,-39.82861588,1.1,1.1
32.11187216,-39.82309268,1.1,1.1
32.4764181,-39.81744495,1.1,1.1
32.84105098,-39.81163137,1.1,1.1
33.20572838,-39.80531419,1.1,1.1
33.57036934,-39.79790108,1.1,1.1
33.93489146,-39.78879166,1.1,1.1
34.29921245,-39.77738536,1.1,1.1
34.66324999,-39.76308167,1.1,1.1
35.02692166,-39.74528023,1.1,1.1
35.39014526,-39.72338045,1.1,1.1
