x_m,y_m,w_tr_right_m,w_tr_left_m
0,0,1.1,1.1
0.228031029,0.315127116,1.1,1.1
0.456041522,0.630257343,1.1,1.1
0.684032957,0.945390838,1.1,1.1
0.912006967,1.260527911,1.1,1.1
1.139965031,1.57566864,1.1,1.1
1.367908626,1.890813336,1.1,1.1
1.595839308,2.205962077,1.1,1.1
1.823758633,2.521115174,1.1,1.1
2.051668001,2.836272783,1.1,1.1
2.279569046,3.151435137,1.1,1.1
2.507463246,3.466602314,1.1,1.1
2.735352155,3.781774625,1.1,1.1
2.963237254,4.096952304,1.1,1.1
3.191119863,4.412135349,1.1,1.1
3.419000449,4.727323529,1.1,1.1
3.646879324,5.042516376,1.1,1.1
3.874756644,5.35771358,1.1,1.1
4.102632874,5.67291475,1.1,1.1
4.330508093,5.988119421,1.1,1.1
4.55838269,6.303327281,1.1,1.1
4.786256898,6.618537864,1.1,1.1
5.01413095,6.933750858,1.1,1.1
5.242005236,7.248965875,1.1,1.1
5.469879832,7.564182448,1.1,1.1
5.697755207,7.879400265,1.1,1.1
5.925631593,8.19461886,1.1,1.1
6.153509146,8.509837922,1.1,1.1
6.381388254,8.825056983,1.1,1.1
6.609269152,9.140275734,1.1,1.1
6.837152072,9.455493707,1.1,1.1
7.065037326,9.770710513,1.1,1.1
7.292925224,10.08592584,1.1,1.1
7.520816001,10.4011393,1.1,1.1
7.748709889,10.71635035,1.1,1.1
7.976607123,11.03155876,1.1,1.1
8.204508167,11.34676413,1.1,1.1
8.432413102,11.66196592,1.1,1.1
8.660322236,11.97716398,1.1,1.1
8.888235961,12.29235768,1.1,1.1
9.116154352,12.60754672,1.1,1.1
9.344077878,12.92273077,1.1,1.1
9.572006693,13.23790939,1.1,1.1
9.799941109,13.55308224,1.1,1.1
10.02788136,13.8682488,1.1,1.1
10.25582768,14.18340882,1.1,1.1
10.48378045,14.49856184,1.1,1.1
10.71173991,14.81370747,1.1,1.1
10.93970638,15.12884532,1.1,1.1
11.16768,15.443975,1.1,1.1
11.39566101,15.7590962,1.1,1.1
11.62364405,16.07421297,1.1,1.1
11.85161121,16.389339,1.1,1.1
12.07954322,16.70448922,1.1,1.1
12.30742061,17.01967841,1.1,1.1
12.53522427,17.33492159,1.1,1.1
12.76293465,17.65023353,1.1,1.1
12.99053248,17.96562917,1.1,1.1
13.21799837,18.28112337,1.1,1.1
13.44531313,18.59673106,1.1,1.1
13.67245722,18.9124671,1.1,1.1
13.89941142,19.22834635,1.1,1.1
14.12615638,19.54438383,1.1,1.1
14.35267271,19.86059422,1.1,1.1
14.57894113,20.17699256,1.1,1.1
14.8049422,20.49359361,1.1,1.1
15.03065669,20.81041238,1.1,1.1
15.25606517,21.12746375,1.1,1.1
15.48114833,21.44476248,1.1,1.1
15.70593325,21.76228291,1.1,1.1
15.9307685,22.07971793,1.1,1.1
16.15613847,22.39664141,1.1,1.1
16.38252793,22.71262684,1.1,1.1
16.61042174,23.02724787,1.1,1.1
16.83952252,23.34089996,1.1,1.1
17.06660033,23.65705987,1.1,1.1
17.28885347,23.9788074,1.1,1.1
17.51877927,24.29387205,1.1,1.1
17.77883015,24.57957892,1.1,1.1
18.07590695,24.82315735,1.1,1.1
18.40543736,25.0192502,1.1,1.1
18.76060485,25.17028246,1.1,1.1
19.13045815,25.29452574,1.1,1.1
19.50462824,25.40994346,1.1,1.1
19.88022372,25.51893105,1.1,1.1
20.25747189,25.6173917,1.1,1.1
20.6366104,25.70120714,1.1,1.1
21.01786972,25.76634841,1.1,1.1
21.40125135,25.81175968,1.1,1.1
21.78647951,25.83998089,1.1,1.1
22.17326166,25.85376763,1.1,1.1
22.56130537,25.85587507,1.1,1.1
22.95031825,25.84905879,1.1,1.1
23.34000781,25.83607405,1.1,1.1
23.73008156,25.81967635,1.1,1.1
24.12024703,25.80262095,1.1,1.1
24.51021251,25.78765541,1.1,1.1
24.89978523,25.77635129,1.1,1.1
25.2889757,25.76786544,1.1,1.1
25.67781954,25.76105834,1.1,1.1
26.06635215,25.75479015,1.1,1.1
26.45460916,25.74792137,1.1,1.1
26.84262612,25.73931222,1.1,1.1
27.23043857,25.72782312,1.1,1.1
27.61808198,25.71231438,1.1,1.1
28.00559199,25.69164626,1.1,1.1
28.39300577,25.66511274,1.1,1.1
28.78036682,25.63358303,1.1,1.1
29.16772024,25.59828456,1.1,1.1
29.55511092,25.56044474,1.1,1.1
29.94258374,25.52129084,1.1,1.1
30.33018383,25.48205021,1.1,1.1
30.7179559,25.44395019,1.1,1.1
31.10594517,25.40821812,1.1,1.1
31.49419642,25.37608143,1.1,1.1
31.8827218,25.3488941,1.1,1.1
32.27131501,25.32885116,1.1,1.1
32.65968108,25.31849038,1.1,1.1
33.04752456,25.32035037,1.1,1.1
33.43455018,25.33696961,1.1,1.1
33.82055444,25.3698071,1.1,1.1
34.20566507,25.41643187,1.1,1.1
34.59008439,25.47353729,1.1,1.1
34.97401481,25.53781681,1.1,1.1
35.35758741,25.60628104,1.1,1.1
35.74000609,25.68006918,1.1,1.1
36.1198261,25.76321027,1.1,1.1
